#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
heir_of_durin_desc;Durin I, also known as Durin the Deathless due to his longevity, was the first of the seven Fathers of the Dwarves, the founder of the city of Khazad-d˚m, and the first king of the Longbeards. You're his heir, and the living chief of his House.;Durin I, connu aussi sous le nom de Durin Trompe-la-Mort, est le premier des Sept PËres des Nains, le fondateur de Khazad-d˚m, et le premier Roi du Peuple de Durin, les Longues-Barbes. Vous Ítes son hÈritier, et le chef de sa lignÈe.;;;;;x
dwarven;Dwarf;Nain;;;;;x
dwarven_desc;This character is a Dwarf, a race created by AulÎ Mahal, one of the Valar. Dwarves strive for the riches of the Earth, digging deep into mountains in search of valuable minerals. They are stout, strong, and particular lovers ale and salted pork.;Ce personnage est un nain, une race crÈÈe par le Valar AulÎ Mahal.;;;;;x
dwarven_infertility;Dwarven Infertility;InfertilitÈ des Nains;;;;;x
dwarven_infertility_desc;This dwarf has reached the capacity for having children.;Ce nain n'a plus la capacitÈ d'avoir des enfants.;;;;;x
durin_reincarnation;Image of Durin I;;;;;;x
durin_reincarnation_desc;This dwarf appears to exactly resemble the father of the Longbeards, Durin I, in both appearance and temperament.;;;;;;x
#Wilderness;;;;;;;
wilderness;Wilderness;Territoire Sauvage;;;;;x
wilderness_desc;This land is ruled by no man, elf, dwarf or orc. Only wilderness can be see here.;Ce territoire n'est habitÈ par aucun homme, elf, nain, ou orc.;;;;;x
wildlife;Wilderness;Territoire Sauvage;;;;;x
wildlife_desc;This land is ruled by no man, elf, dwarf or orc. Only wilderness can be see here.;Ce territoire n'est habitÈ par aucun homme, elf, nain, ou orc.;;;;;x
#Men;;;;;;;
human_infertility;Human Infertility;InfertilitÈ des Hommes;;;;;x
human_infertility_desc;This human has reached the capacity for having children.;Cette Femme a atteint un ‚ge avancÈ, et n'est dÈsormais plus en mesure d'avoir des enfants.;;;;;x
#Hobbit;;;;;;;
hobbit;Hobbit;Hobbit;;;;;x
hobbit_desc;This character is a Hobbit, also known as Halfling. They are smaller than Dwarves and are usually between two and four feet in height. Most Hobbits enjoy farming, food, parties and the giving and receiving of presents. They are usually friendly and prefer a quiet and peaceful life.;Ce personnage est un Hobbit, un semi-Homme. La plupart des hobbits aiment profiter de la vie, de la bonne nourriture, et aiment s'Èchanger des cadeaux. Ils sont gÈnÈralement pacifiques.;;;;;x
#Other;;;;;;;
ent;Onodrim;Onodrim;;;;;x
ent_desc;This is a member of the race of Onodrim. Ents are ancient tree-like creatures who guard the Huorns, giant and semi-mobile trees similar to the Ents.;Ce personnage est un Onodrim, un Ent en langue commune. Les Ents sont d'anciennes crÈatures, gardiennes des forÍts.;;;;;x
skin_changer;Skin Changer;Changeur de Peau;;;;;x
skin_changer_desc;This character can change his physical form and become a beast.;Ce personnage peut changer son apparence physique, comme le faisait Beorn.;;;;;x
numenorean;Numenorean;NumÈnorÈen;;;;;x
numenorean_desc;This character was born in the island of Numenor, and then is a member of the greatest peoples of Mankind.;Ce personnage est nÈ sur l'Óle de NumÈnor, et est donc l'un des membres du plus puissant peuple des Hommes.;;;;;x
prince_numenor;Prince of Numenor;Prince de Numenor;;;;;x
prince_numenor_desc;This character is a member of the Royal Family of Numenor, and is a descendant of Elros Tar-Minyatur, son of Earendil and brother of Elrond.;Ce personnage est membre de la Famille Royale de Numenor, et est donc l'un des descendants d'Elros Tar-Minyatur, le fils d'E‰rendil et le frËre d'Elrond Peredhel.;;;;;x
fea_strong;Strong Fea;Strong Fea;;;;;x
fea_strong_desc;This character possesses a great amount of spirt within their being;This character possesses a great amount of spirit within their being;;;;;x
fea_normal;Normal Fea;Normal Fea;;;;;x
fea_weak;Weak Fea;Weak Fea;;;;;x
fea_normal_desc;This character possesses an average amount of spirit;This character possesses an average amount of spirit;;;;;x
fea_weak_desc;This character possesses a low amount of spirit and may tire easily;This character possesses a low amount of spirit and may tire easily;;;;;x
