#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
CHRONICLE_PILGRIMAGE_TO_KOLN;[Root.GetTitledName] made a purifying journey to the Pools of Ivrin.;[Root.GetTitledName] a fait un pèlerinage à Cologne.;[Root.GetTitledName] hat eine fromme Pilgerfahrt nach Köln unternommen.;;[Root.GetTitledName] ha hecho un pío peregrinaje a Colonia;;;;;;;;;x
CHRONICLE_PILGRIMAGE_TO_SANTIAGO;[Root.GetTitledName] made a purifying journey to Tarn Aeluin.;[Root.GetTitledName] a fait un pèlerinage à Saint-Jacques-de-Compostelle.;[Root.GetTitledName] hat eine fromme Pilgerfahrt nach Santiago unternommen.;;[Root.GetTitledName] ha hecho un pío peregrinaje a Santiago;;;;;;;;;x
CHRONICLE_WENT_ON_HAJJ;[Root.GetTitledName] battled in the great fighting-pits.;[Root.GetTitledName] a entrepris un hajj à La Mecque.;[Root.GetTitledName] ging auf die Hadsch nach Mekka.;;[Root.GetTitledName] emprendió un hajj a la Meca;;;;;;;;;x
CHRONICLE_HELD_BLOT;[Root.GetTitledName] held a great sacrificial feast at [Root.Location.GetName].;[Root.GetTitledName] a organisé un grand blót à [Root.Location.GetName].;[Root.GetTitledName] veranstaltete in [Root.Location.GetName] ein großes Opferfest.;;[Root.GetTitledName] tuvo una gran tacha [Root.Location.GetName].;;;;;;;;;x
#CHRONICLE_PLAYER_INHERITANCE_NORMAL;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [Root.GetTitledName] succeeded [From.GetHerHim] and thus became the new [Root.GetHighestTitle].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [Root.GetTitledName] lui a succédé et a été ainsi nouvellement nommé [Root.GetHighestTitle].;[From.GetTitledName] ist am [GetDateText] an [From.GetDeathReason] gestorben. [Root.GetTitledName] folgte [From.GetHerHim] und wird so neue(r) [Root.GetHighestTitle].;;El [From.GetDeathReason] de [From.GetTitledName] en [GetDateText]. [Root.GetTitledName] tuvo éxito [From.GetHerHim] y así se convirtió en el nuevo [Root.GetHighestTitle].;;;;;;;;;x
#CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [Root.GetTitledName], born of the [Root.Religion.GetName] people, succeeded [From.GetHerHim] and thus became the new [Root.GetHighestTitle].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. Selon la tradition de la religion [Root.Religion.GetName], [Root.GetTitledName] lui a succédé et a été ainsi nouvellement nommé [Root.GetHighestTitle].;[From.GetTitledName] ist am [GetDateText] an [From.GetDeathReason] gestorben. Gemäß dem [Root.Religion.GetName] Glauben folgte [Root.GetTitledName] auf [From.GetHerHim] und wird dadurch neue(r) [Root.GetHighestTitle].;;El [From.GetDeathReason] de [From.GetTitledName] en [GetDateText]. [Root.GetTitledName] siguiendo la fe del [Root.Religion.GetName], tuvo éxito [From.GetHerHim] y así se convirtió en el nuevo [Root.GetHighestTitle].;;;;;;;;;x
#CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [Root.GetTitledName], speaker of the [Root.Culture.GetName] tongue, succeeded [From.GetHerHim] and thus became the new [Root.GetHighestTitle].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. Selon la tradition de la culture [Root.Culture.GetName], [Root.GetTitledName] lui a succédé et a été ainsi nouvellement nommé [Root.GetHighestTitle].;[From.GetTitledName] ist am [GetDateText] an [From.GetDeathReason] gestorben. [Root.GetTitledName], von der [Root.Culture.GetName] Kultur, folgte [From.GetHerHim] nach und wird so neue(r) [Root.GetHighestTitle].;;El [From.GetDeathReason] de [From.GetTitledName] en [GetDateText]. [Root.GetTitledName], de cultura [Root.Culture.GetName], tuvo éxito [From.GetHerHim] y así se convirtió en el nuevo [Root.GetHighestTitle].;;;;;;;;;x
#CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [Root.GetTitledName], a [Root.Culture.GetName] of the [Root.Religion.GetName] faith, succeeded [From.GetHerHim] and thus became the new [Root.GetHighestTitle].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [Root.GetTitledName], de culture [Root.Culture.GetName] et de religion [Root.Religion.GetName], lui a succédé et a été ainsi nouvellement nommé [Root.GetHighestTitle].;[From.GetTitledName] ist am [GetDateText] an [From.GetDeathReason] gestorben. [Root.GetTitledName], ein [Root.Culture.GetName] vom [Root.Religion.GetName] Glauben, folgte auf [From.GetHerHim] und wird dadurch neue(r) [Root.GetHighestTitle].;;El [From.GetDeathReason] de [From.GetTitledName] en [GetDateText]. [Root.GetTitledName], una [Root.Culture.GetName] de la fe [Root.Religion.GetName], tuvo éxito [From.GetHerHim] y así se convirtió en el nuevo [Root.GetHighestTitle].;;;;;;;;;x
CHRONICLE_PLAYER_ACQUIRED_NICKNAME;[Root.GetTitledName], through deeds and character, came to be known as [Root.GetTitledFirstNameWithNick].;[Root.GetTitledName], de par ses gestes et sa personnalité, se fit connaître sous le nom de [Root.GetTitledFirstNameWithNick].;Durch Taten und Charakterstärke wurde [Root.GetTitledName] unter dem Namen [Root.GetTitledFirstNameWithNick] bekannt.;;A [Root.GetTitledName], por sus hazañas y su reputación se le conoció como [Root.GetTitledFirstNameWithNick].;;;;;;;;;x
CHRONICLE_HERESY_SPREAD;The [From.Religion.GetName] exiles spread their woeful presence in the province of [From.GetName].;Cette terrible hérésie qu'est la religion [From.Religion.GetName] s'est répandue dans la province de [From.GetName].;Die [From.Religion.GetName] Ketzerei breitete sich beklagenswerter Weise in der Provinz [From.GetName] aus.;;La herejía del [From.Religion.GetName] esparce su lamentable presencia en la provincia de [From.GetName].;;;;;;;;;x
#CHRONICLE_BECAME_KSHATRIYA;[Root.GetTitledFirstNameWithNick] ascended to the Kshatriya caste, claiming new influence for [Root.GetHerHis] dynasty among [Root.Religion.GetName] rulers.;[Root.GetTitledFirstNameWithNick], revendiquant du influence pour sa dynastie parmi les dirigeants de la religion [Root.Religion.GetName], a gravi les échelons jusqu'à la caste kshatriya.;[Root.GetTitledFirstNameWithNick] stieg in die Kshatriya-Kaste auf und erwirbt dadurch für [Root.GetHerHis] Dynastie unter den [Root.Religion.GetName] Herrschern weiteres Ansehen.;;[Root.GetTitledFirstNameWithNick] ascendió a la casta Kshatriya, reivindicando nuevo prestigio para la dinastía [Root.GetHerHis] entre los gobernantes [Root.Religion.GetName].;;;;;;;;;x
#CHRONICLE_WON_BATTLE_FOUGHT;[Root.GetTitledName] was victorious in the battle of [Root.Location.GetName] against the army of [From.Topliege.GetTitledName], commanded by [From.GetTitledName].;[Root.GetTitledName] a gagné la bataille de [Root.Location.GetName] contre l'armée de [From.Topliege.GetTitledName], menée par [From.GetTitledName].;[Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen das Heer von [From.Topliege.GetTitledName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledName] salió victorioso en la batalla de [Root.Location.GetName] contra el ejército de [From.Topliege.GetTitledName], comandado por [From.GetTitledName].;;;;;;;;;x
#CHRONICLE_LOST_BATTLE_FOUGHT;[Root.GetTitledName] lost the battle of [Root.Location.GetName] against the army of [From.Topliege.GetTitledName], commanded by [From.GetTitledName].;[Root.GetTitledName] a perdu la bataille de [Root.Location.GetName] contre l'armée de [From.Topliege.GetTitledName], menée par [From.GetTitledName].;[Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] dem Heer von [From.Topliege.GetTitledName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledName] perdió la batalla de [Root.Location.GetName] contra el ejército de [From.Topliege.GetTitledName], comandado por [From.GetTitledName].;;;;;;;;;x
#CHRONICLE_WON_BATTLE_BUT_DIDNT_FIGHT;The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was victorious in the battle of [Root.Location.GetName] against the armies of [From.Topliege.GetTitledName].;L'armée de [Root.TopLiege.GetTitledName], menée par [Root.GetTitledName], a gagné la bataille de [Root.Location.GetName] contre les armées de [From.Topliege.GetTitledName].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen die Truppen von [From.Topliege.GetTitledName].;;El ejército de [Root.TopLiege.GetTitledName], comandado por [Root.GetTitledName], salió victorioso en la batalla de [Root.Location.GetName] contra los ejércitos de [From.Topliege.GetTitledName]. ;;;;;;;;;x
#CHRONICLE_LOST_BATTLE_BUT_DIDNT_FIGHT;The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was defeated in the battle of [Root.Location.GetName] against the armies of [From.Topliege.GetTitledName].;L'armée de [Root.TopLiege.GetTitledName], menée par [Root.GetTitledName], a perdu la bataille de [Root.Location.GetName] contre les armées de [From.Topliege.GetTitledName].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] den Truppen von [From.Topliege.GetTitledName].;;El ejército de [Root.TopLiege.GetTitledName], comandado por [Root.GetTitledName], salió derrotado en la batalla de [Root.Location.GetName] contra los ejércitos de [From.Topliege.GetTitledName]. ;;;;;;;;;x
CHRONICLE_CAPTURED_MAJOR_SETTLEMENT_MYSELF;[Root.GetTitledName] successfully led [Root.GetHerHis] armies, taking [From.GetName] from the enemy.;[Root.GetTitledName] a mené ses troupes à la victoire avec succès, prenant [From.GetName] aux mains des ennemis.;[Root.GetTitledName] führte [Root.GetHerHis] Heer erfolgreich und eroberte [From.GetName] vom Feind.;;[Root.GetTitledName] lideró con éxito [Root.GetHerHis] ejércitos, tomando [From.GetName] del enemigo.;;;;;;;;;x
CHRONICLE_MY_FORCES_CAPTURED_MAJOR_SETTLEMENT;The armies of [Root.TopLiege.PrimaryTitle.GetName], led by [Root.GetTitledName], captured [From.GetName].;Les armées de [Root.TopLiege.PrimaryTitle.GetName], menées par [Root.GetTitledName], ont pris [From.GetName].;Das Heer von [Root.TopLiege.PrimaryTitle.GetName] unter Führung von [Root.GetTitledName] nahm [From.GetName] gefangen.;;Los ejércitos de [Root.TopLiege.PrimaryTitle.GetName], liderados por [Root.GetTitledName], capturaron [From.GetName].;;;;;;;;;x
CHRONICLE_ENEMY_FORCES_CAPTURED_MAJOR_SETTLEMENT;[From.Owner.TopLiege.PrimaryTitle.GetName] lost [From.GetName] to the forces of [Root.TopLiege.GetTitledName].;[From.Owner.TopLiege.PrimaryTitle.GetName] a perdu [From.GetName] aux mains de [Root.TopLiege.GetTitledName].;[From.Owner.TopLiege.PrimaryTitle.GetName] verlor [From.GetName] an die Truppen von [Root.TopLiege.GetTitledName].;;[From.Owner.TopLiege.PrimaryTitle.GetName] ha perdido [From.GetName] en beneficio de las fuerzas de [Root.TopLiege.GetTitledName].;;;;;;;;;x
CHRONICLE_UNITED_INDIA;[Root.GetDynName] established control of all of Nan Gelion, thus declaring [Root.GetHerselfHimself] [Root.GetTitle];[Root.GetDynName] a pris le contrôle de tous les empires de l'Inde, se proclamant ainsi [Root.GetTitle];[Root.GetDynName] sichert sich die Herrschaft über alle Reiche Indiens und erklärt sich selbst zum [Root.GetTitle];;[Root.GetDynName] estableció el control de todos los imperios de la India, declarándose así [Root.GetHerselfHimself] [Root.GetTitle];;;;;;;;x
#CHRONICLE_VIKING_AGE_BEGINS;Norsemen set sail in their longships and to trade and raid beyond their northern homelands in ever increasing numbers, signalling the beginning of a new age.;Les hommes du Nord ont hissé les voiles de leurs drakkars et sont de plus en plus nombreux à parcourir les mers au-delà de leurs territoires, commerçant et pillant. C'est le début d'une ère nouvelle.;Die Wikinger brachen in immer größerer Zahl in ihren Schiffen aus ihrer nordischen Heimat auf, um Handel zu treiben und zu plündern, und läuteten damit ein neues Zeitalter ein.;;Los nórdicos dejaron atrás sus hogares y se echaron a la mar con sus barcos vikingos para comerciar y atacar, incrementando constantemente su número, marcando el inicio de una nueva era.;;;;;;;;;x

# zunist festival -> nothing for now

#EVTTITLE_CM_4130;Walking Under the Sun;Promenade au Soleil;Unter der Sonne Schreiten;;Caminando Bajo el Sol;;;;;;;;;x
#EVTDESC_CM_4130;The time has come for one of the main events of the Festival of the Sun - the ceremony known as Walking Under the Sun. A sunny day is chosen, and on it Zun's faithful walk barefoot around the circumference of the temple nintey-nine times, all the while chanting pious rhymes. It is a ritual of physical and spiritual cleansing, as well as a tribute to the Radiant Lord Zun.\n\nIt is known both for inspiring great piety and for causing great physical and mental exertion.;Le temps est venu de faire l'un des principaux évènements du festival du Soleil, une cérémonie qu'on appelle la Promenade au Soleil. On choisit une journée ensoleillée et les fidès de Zun marchent pieds nus quatre-vingt-dix-neuf fois autour du temple, en chantant des vers pieux. C'est un rituel qui purifie le corps et l'esprit, de même qu'un hommage au Radieux Seigneur Zun.\n\nCe rituel apporte une grande piété et demande beaucoup d'efforts physiques et mentaux.;Es ist Zeit für einen der Höhepunkte des Festes der Sonne - die Zeremonie des Schreitens im Schein der Sonne. Ein sonniger Tag wird gewählt, an dem Zuns treue Gläubige barfuß unter Absingen frommer Verse neunundneunzig Mal den Tempel umschreiten. Es ist ein Ritual zur körperlichen und seelischen Reinigung ebenso wie ein Tribut an Zun, den Strahlenden Herrn.\n\nEs ist berühmt für seine inspirierende große Frömmigkeit ebenso wie für die gewaltige körperliche und seelische Kraftanstrengung.;;Ha llegado el momento de uno de los principales eventos del Festival del Sol – la ceremonia conocida como Caminando Bajo el Sol. Se escoge un día soleado y entonces los creyentes de Zun caminan descalzos noventa y nueve veces alrededor de la circunferencia del templo, todo ello recitando versos píos. Es un ritual de limpieza física y espiritual, así como un tributo al Radiante Señor Zun\n\nEsto es conocido tanto por inspirar una gran devoción como por exigir un gran esfuerzo físico y mental.;;;;;;;;;x
#EVTOPTA_CM_4130;Together we shall walk in His light!;Marchons ensemble dans Sa Lumière !;Gemeinsam schreiten wir in Seinem Licht!;;¡Caminaremos juntos bajo Su luz!;;;;;;;;;x
#EVTDESC_CM_4131;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. On the seventy-third lap around the temple, you start to feel a weakness and pain in your legs. You try to move forwards but your head is pounding and you struggle for breath. As you fall to your knees, you start to vomit on the ground.;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Au soixante-dix-septième tour autour du temple, vous commencez à ressentir une douleur et une faiblesse dans vos jambes. Vous essayez d'avancer mais votre tête vous fait mal et vous cherchez votre souffle. Alors que vous tombez à genoux, vous vomissez sur le sol.;Stundenlang schreitet Ihr zu Ehren von [Root.Religion.GetRandomGodName] durch die pralle Sonne. Auf dem dreiundsiebzigsten Umgang werden Eure schmerzenden Beine schwach. Ihr wollt weitergehen, doch in Eurem Kopf pocht es, und Ihr leidet unter Atemnot. Ihr fallt auf die Knie und müsst Euch übergeben.;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. En la vuelta setenta y tres alrededor del templo, te han comenzado a flaquear las fuerzas y sientes dolor en tus piernas. Tratas de seguir adelante pero te palpita la cabeza y luchas por respirar. Mientras caes sobre tus rodillas, empiezas a vomitar.;;;;;;;;;x
#EVTOPTA_CM_4131;Aaagh!;Aaagh !;Aaagh!;;¡Aaaah!;;;;;;;;;x
#EVTDESC_CM_4133;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you start to see new and clearer perspectives on some things that previously seemed too mysterious to fathom. The sun is just a large cheese and the moon speaks soothing words about your feet. Oh those feet, how they bother you. Maybe you should cut them off?;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous commencez à voir les choses sous un autre angle et comprenez certains mystères. Le soleil n'est qu'un gros fromage et la lune tient un discours apaisant sur vos pieds. Ah ces pieds, qu'ils sont dérangeants. Nous pourrions peut-être les couper ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, ergiebt sich nach und nach eine neue, klarere Sicht auf Dinge, die zuvor zu mysteriös erschienen, um sie zu ergründen. Die Sonne ist bloß ein riesiger Käse, und der Mond spendet tröstende Worte über Eure Füße. Ach diese Füße, sie sind nur noch eine Last. Solltet Ihr sie vielleicht abhacken? ;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, empiezas a ver desde nuevos y más reveladores puntos de vista algunas cosas que antes te parecían demasiado misteriosas y no comprendías. El sol no es más que un enorme queso y la luna pronuncia palabras reconfortantes sobre tus pies. Oh, esos pies, como te molestan. ¡Deberías cortártelos, quizás?;;;;;;;;;x
#EVTOPTA_CM_4133;Behold my illumination!;Contemplez mon illumination !;Seht meine Erleuchtung!;;¡Contemplar mi iluminación!;;;;;;;;;x
#EVTDESC_CM_4135;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you start to feel a strange presence entering your mind. Yes, yes... the little devils that dwell underground in darkness have come to you and are sitting on your shoulder, invisible, telling you strange secrets!;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous commencez à sentir une étrange présence qui pénètre votre esprit. Oui, oui... ces petits démons qui habitent la noirceur souterraine sont assis sur votre épaule, invisibles et vous disant d'étranges secrets !;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, ergreift auf einmal etwas Seltsames von Euch Besitz.. Ja, wirklich... die kleinen Teufel aus der finsteren Unterwelt sitzen auf Eurer Schulter, unsichtbar, und flüstern Euch befremdliche Geheimnisse zu. ;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, empiezas a sentir una extraña presencia penetrando en tu mente. Sí, sí... los pequeños demonios que habitan entre tinieblas bajo tierra, han venido y están sentados en tus hombros, invisibles, ¡explicándote extraños secretos!;;;;;;;;;x
#EVTOPTA_CM_4135;Now everything will be different!;Tout sera si différent dorénavant !;Jetzt wird alles anders!;;¡Ahora todo será diferente!;;;;;;;;;x
#EVTDESC_CM_4137;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you turn your face upwards towards the Sun. You feel the light and warmth coarse through your mind and body, and shudder with excitement. Only now have you fully understood!;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous tournez votre visage vers le Soleil. Vous sentez la lumière et une chaleur crue envahir votre esprit et votre corps. Vous frémissez d'excitation. Vous avez enfin tout compris !;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wendet Ihr Euer Antlitz der Sonne zu. Ihr spürt wie Licht und Wärme durch Körper und Seele fahren, und Ihr zittert vor Erregung. Endlich habt Ihr alles begriffen!;;Durante horas has caminado bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, giras el rostro hacia el Sol. Sientes la luz y el intenso calor a través de tu mente y tu cuerpo, y te estremeces agitadamente. ¡Sólo ahora comprendes plenamente!;;;;;;;;;x
#EVTOPTA_CM_4137;Praise His sacred light!;Gloire à Sa lumière sacrée !;Gepriesen sei Sein Heiliges Licht!;;¡Alabar Su luz sagrada!;;;;;;;;;x
#EVTDESC_CM_4139;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you press on. You feel this ordeal is hardening you and giving you new strength. Perhaps you should take to doing similar exercises more frequently once the festival is over?;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous pressez le pas. Vous sentez que cette épreuve vous rend plus fort. Vous devriez peut-être faire des exercices semblables plus souvent après le festival ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, schreitet Ihr voran. Ihr spürt wie diese Prüfung Euch festigt und Euch neue Kraft gibt. Vielleicht solltet Ihr solche Übungen öfter auf Euch nehmen, wenn das Fest vorbei ist? ;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, tú sigues adelante sin desfallecer. Sientes que este sacrificio te está fortaleciendo y que te da fuerzas renovadas. ¿Deberías considerar hacer ejercicios de este tipo más frecuentemente una vez finalice el festival? ;;;;;;;;;x
#EVTOPTA_CM_4139;This is making me strong!;La force est avec moi !;Dies macht mich stark!;;¡Esto me fortalece!;;;;;;;;;x
#EVTDESC_CM_4141;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, your mind wanders and you start to see new perspectives and angles on some familiar problems. Perhaps you should start thinking outside your usual patterns?;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, votre esprit erre et vous voyez vos problèmes sous de nouveaux angles. Vous devriez peut-être penser différemment ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wandern Eure Gedanken und nach und nach ergeben sich neue Sichtweisen auf alte Probleme. Vielleicht solltet Eure Gedanken mal die üblichen Muster verlassen?;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, tu mente deambula y empiezas a ver desde nuevas perspectivas algunos problemas familiares. ¿Quizás deberías empezar a mirar los problemas desde otros puntos de vista?;;;;;;;;;x
#EVTOPTA_CM_4141;Hmm...;Hmm...;Hmm...;;Mmm...;;;;;;;;;x
#EVTDESC_CM_4143;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you turn your face upwards towards the Sun. As you feel His strong warmth and presence embrace you, you open your eyes and stare into His face to embrace the divine mysteries to be seen therein. You stare for a long while...;Vous marchez au soleil durant des heures pour honorer [Root.Religion.GetRandomGodName]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous tournez votre visage vers le Soleil. Alors que vous vous sentez bercé par Sa forte et chaude présence, vous ouvrez les yeux et Le dévisagez pour percer Ses mystères. Vous restez ainsi longtemps...;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wendet Ihr Euer Antlitz der Sonne zu. Ihr spürt Seine starke Wärme, er ist da und umarmt Euch. Ihr öffnet die Augen und blickt in Sein Gesicht, um die göttlichen Geheimnisse darin zu erkennen. Ihr schaut ganz lange...;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, giras el rostro hacia el Sol. Mientras sientes como su fuerte calidez y presencia te embriaga, abres tus ojos y miras fijamente hacia Su rostro para abrazar los divinos misterios que se pueden ver en Él. Clavas la mirada por un largo tiempo...;;;;;;;;;x
#EVTOPTA_CM_4143;But wait... now everything went dark.;Mais... comment ? Tout est noir maintenant.;Doch halt... Plötzlich ist alles dunkel.;;Pero espera... ahora todo se ha vuelto oscuro.;;;;;;;;;x
#EVTDESC_CM_4190;The ceremony of thanksgiving to Zun the Giver of Justice is held in courtyard of the temple. All the attendants bare their heads and kneel to give thanks for the light, warmth, justice, wisdom and fertility that He gives His faithful worshippers. Bread spiced with holy saffron is passed around and consumed by the worshippers.;La cérémonie des grâces en l'honneur de Zun le Justicier est tenue dans la cour du temple. Tous ceux qui y assistent se découvrent la tête et s'agenouillent afin de rendre grâce à la lumière, la chaleur, la justice, la sagesse et la fertilité qu'Il donne à Ses fidèles. Les fidèles se partagent du pain épicé de saint safran.;Die Dankesfeier für Zun, dem Geber der Gerechtigkeit, findet im Innenhof des Tempels statt. Alle Anwesenden entblößen ihre Häupter und knien nieder, um für Licht, Wärme, Gerechtigkeit, Weisheit und Fruchtbarkeit zu danken, die Er Seinen treuen Gläubigen spendet. Mit heiligem Safran gewürztes Brot wird an die Anbeter verteilt.;;La ceremonia de acción de gracias a Zun, el que Imparte Justicia, se lleva a cabo en el claustro del templo. Todos los asistentes descubren sus cabezas y se arrodillan para dar gracias por la luz, la calidez, la justicia, la sabiduría y la fertilidad que Él proporciona a Sus devotos. Los creyentes comen y comparten pan sazonado con azafrán sagrado.;;;;;;;;;x
#EVTOPTA_CM_4190;Praise [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡Adorar a [Root.Religion.GetRandomGodName]!;;;;;;;;;x

# Iconoclasm -> nothing

#opinion_renounced_iconoclasm;Renounced Iconoclasm;A renoncé à l'iconoclasme;Dem Ikonoklasmus abgeschworen;;Iconoclastia renunciada;;;;;;;;;x
#renounce_iconoclasm;Renounce Iconoclasm;Renoncer à l'iconoclasme;Dem Ikonoklasmus abschwören;;Renunciar a la Iconoclastia;;;;;;;;;x
#renounce_iconoclasm_desc;Many in your realm and abroad are strongly against the Iconoclast doctrine, which forbids the creation or possession of any religious images or icons and condemns it as idolatry. You could, in the interest of pragmatism, choose to renounce Iconoclasm and declare it a heresy.;Nombreux sont ceux qui, partout dans le royaume et plus loin encore, s'opposent à la doctrine iconoclaste qui défend la création ou la possession d'images ou d'icônes religieuses et condamne l'idolâtrie. Vous pouvez, par pragmatisme, choisir de renoncer à l'iconoclasme et le déclarer comme hérésie.;Viele in Eurem Reich lehnen die Lehre des Ikonoklasmus ab, die die Erschaffung und den Besitz religiöser Bilder oder Ikonen verbietet und sie als Götzendienst verdammt. Ihr habt, ganz pragmatisch, die Wahl, dem Ikonoklasmus abzuschwören und sie zur Ketzerei zu erklären.;;Muchos en tu reino, y fuera de él, están radicalmente en contra de la doctrina Iconoclasta que prohíbe la creación y tenencia de cualquier símbolo o imagen religiosa y acusándolo de idolatría. Podrías, para ser pragmáticos, elegir renunciar a la Iconoclastia y declararla una herejía.;;;;;;;;;x
#renounce_iconoclasm_province_tooltip;Orthodox Christians in the Empire will rejoice.\n;Les chrétiens orthodoxes de l'empire s'en réjouiront.\n;Orthodoxe Christen im Reich werden jubeln.\n;;Los cristianos ortodoxos del Imperio se regocijarán.\n;;;;;;;;;x
