#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#RELIGION GROUPS;x;x;x;x;x;x
CHURCH_NAME;$RELIGION$ ($GROUP$);$RELIGION$ ($GROUP$);;;$RELIGION$ ($GROUP$);;x
secret_religious_society_religion_moriquendi_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_religion_calaquendi_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_religion_perian_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_perian_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_perian_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_perian_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_perian_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_perian_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_perian_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_religion_perian_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_religion_lossoth_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x

secret_religion_eruhini_community;Secret Ainur Community;;;;;;;;;;;;x
secret_religion_eruhini_community_desc;In secret, beings of other races have come together to follow the Ainur ways and support the Ainur race.;;;;;;;;;;;x
secret_religion_mahal_community;Secret Dwarven Community;;;;;;;;;;;;x
secret_religion_mahal_community_desc;In secret, beings of other races have come together to follow the Dwarven ways and support the Dwarven race.;;;;;;;;;;;x
secret_religion_moriquendi_community;Secret Dark Elven Community;;;;;;;;;;;;x
secret_religion_moriquendi_community_desc;In secret, beings of other races have come together to follow the Dark Elven ways and support the Dark Elven race.;;;;;;;;;;;x
secret_religion_calaquendi_community;Secret High Elven Community;;;;;;;;;;;;x
secret_religion_calaquendi_community_desc;In secret, beings of other races have come together to follow the High Elven ways and support the High Elven race.;;;;;;;;;;;x
secret_religion_perian_community;Secret Halfling Community;;;;;;;;;;;;x
secret_religion_perian_community_desc;In secret, beings of other races have come together to follow the Halfling ways and support the Halfling race.;;;;;;;;;;;x
secret_religion_lossoth_community;Secret Forodwaith Community;;;;;;;;;;;;x
secret_religion_lossoth_community_desc;In secret, beings of other races have come together to follow the Forodwaith ways and support the Forodwaith race.;;;;;;;;;;;x
