4785.2.1#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_barad_annun;Barad Annûn;Barad Annûn;Barad Annûn;;Barad Annûn;;;;;;;;;x
b_barad_annun_adj;Barad Annûn;;Barad Annûner;;;;;;;;;;;x
b_barad_annun_2;Bar Amras;Barad Annûn;Barad Annûn;;Barad Annûn;;;;;;;;;x
b_barad_annun_2_adj;Bar Amras;;Barad Annûner;;;;;;;;;;;x
b_barad_annun_3;Korda Otsëafinwëo;Barad Annûn;Barad Annûn;;Barad Annûn;;;;;;;;;x
b_barad_annun_3_adj;Korda Otsëafinwëo;;Barad Annûner;;;;;;;;;;;x
b_barad_annun_4;Taugol;Barad Annûn;Barad Annûn;;Barad Annûn;;;;;;;;;x
b_barad_annun_4_adj;Taugol;;Barad Annûner;;;;;;;;;;;x
b_barad_aros;Barad Aros;Barad Aros;Barad Aros;;Barad Aros;;;;;;;;;x
b_barad_aros_adj;Barad Arosrim;;Barad Aroser;;;;;;;;;;;x
b_barad_curufin;Barad Curufin;Barad Curufin;Barad Curufin;;Barad Curufin;;;;;;;;;x
b_barad_curufin_adj;Barad Curufinrim;;Barad Curufiner;;;;;;;;;;;x
b_barad_forgwaith;Barad Forgwaith;Barad Forgwaith;Barad Forgwaith;;Barad Forgwaith;;;;;;;;;x
b_barad_forgwaith_adj;Barad Forgwaith;;Barad Forgwaither;;;;;;;;;;;x
b_bay_of_tuor;Bay of Tuor;Bay of Tuor;Bay of Tuor;;Bay of Tuor;;;;;;;;;x
b_bay_of_tuor_adj;Bay of Tuor;;Bay of Tuorer;;;;;;;;;;;x
b_bay_of_tuor_2;Caraesnan;Bay of Tuor;Bay of Tuor;;Bay of Tuor;;;;;;;;;x
b_bay_of_tuor_2_adj;Caraesrim;;Bay of Tuorer;;;;;;;;;;;x
b_beleg_dun_falad;Beleg-dun-Falad;Beleg-dun-Falad;Beleg-dun-Falad;;Beleg-dun-Falad;;;;;;;;;x
b_beleg_dun_falad_adj;Beleg-dun-Faladrim;;beleg-dun-falader;;;;;;;;;;;x
b_beleg_dun_falad_2;Lost Galen;Beleg-dun-Falad;Beleg-dun-Falad;;Beleg-dun-Falad;;;;;;;;;x
b_beleg_dun_falad_2_adj;Lost Galen;;beleg-dun-falader;;;;;;;;;;;x
b_beleg_dun_falad_3;Gar Duin;Beleg-dun-Falad;Beleg-dun-Falad;;Beleg-dun-Falad;;;;;;;;;x
b_beleg_dun_falad_3_adj;Gar Duin;;beleg-dun-falader;;;;;;;;;;;x
b_beleg_dun_falad_4;Falagwaith;Beleg-dun-Falad;Beleg-dun-Falad;;Beleg-dun-Falad;;;;;;;;;x
b_beleg_dun_falad_4_adj;Falagwaith;;beleg-dun-falader;;;;;;;;;;;x
b_beleg_dun_falad_5;Galadh Niben;Beleg-dun-Falad;Beleg-dun-Falad;;Beleg-dun-Falad;;;;;;;;;x
b_beleg_dun_falad_5_adj;Galadh Niben;;beleg-dun-falader;;;;;;;;;;;x
b_belegost;Gabilgathol;;;;;;;;;;;;;x
b_belegost_adj;Gabilgatholdul;;;;;;;;;;;;;x
b_belegost_2;Belegost;Belegost;Belegost;;Belegost;;;;;;;;;x
b_belegost_2_adj;Belegothrim;;belegoster;;;;;;;;;;;x
b_belegost_3;Azelanduzur;;;;;;;;;;;;;x
b_belegost_3_adj;Azelanduzurdul;;;;;;;;;;;;;x
b_belegost_4;Bar-en-Nimphelos;Belegost;Belegost;;Belegost;;;;;;;;;x
b_belegost_4_adj;Bar-en-Nimphelos;;belegoster;;;;;;;;;;;x
b_belegost_5;Findu-Nahâb-Dûm;Belegost;Belegost;;Belegost;;;;;;;;;x
b_belegost_5_adj;Findu-Nahâb-Dûmdul;;belegoster;;;;;;;;;;;x
b_belegost_6;Istilgond;Belegost;Belegost;;Belegost;;;;;;;;;x
b_belegost_6_adj;Istilgondrim;;belegoster;;;;;;;;;;;x
b_belegost_7;Rond Telchar;Belegost;Belegost;;Belegost;;;;;;;;;x
b_belegost_7_adj;Telcharim;;belegoster;;;;;;;;;;;x
b_belegraw_gelion;Belegraw-Gelion;Belegraw-Gelion;Belegraw-Gelion;;Belegraw-Gelion;;;;;;;;;x
b_belegraw_gelion_adj;Belegraw-Gelion;;belegraw-gelioner;;;;;;;;;;;x
b_emelrius;Emelrius;Belegraw-Gelion;Belegraw-Gelion;;Belegraw-Gelion;;;;;;;;;x
b_emelrius_adj;Emelrim;;belegraw-gelioner;;;;;;;;;;;x
b_emyvanaes;Emyvanaes;Belegraw-Gelion;Belegraw-Gelion;;Belegraw-Gelion;;;;;;;;;x
b_emyvanaes_adj;Emyvanethrim;;belegraw-gelioner;;;;;;;;;;;x
b_isnelin;Isnelin;Belegraw-Gelion;Belegraw-Gelion;;Belegraw-Gelion;;;;;;;;;x
b_isnelin_adj;Isnelinim;;belegraw-gelioner;;;;;;;;;;;x
b_bors_seat;Bor's Seat;Bor's Seat;Bor's Seat;;Bor's Seat;;;;;;;;;x
b_bors_seat_adj;Bors Seatrim;;Bor's Seater;;;;;;;;;;;x
b_bors_seat_2;Dor Sadron;Bor's Seat;Bor's Seat;;Bor's Seat;;;;;;;;;x
b_bors_seat_2_adj;Dor Sadron;;Bor's Seater;;;;;;;;;;;x
b_bors_seat_3;Echad-en-Baradhrim;Bor's Seat;Bor's Seat;;Bor's Seat;;;;;;;;;x
b_bors_seat_3_adj;Echad-en-Baradhrim;;Bor's Seater;;;;;;;;;;;x
b_brethil;Brithiach;;;;;;;;;;;;;x
b_brethil_adj;Brithiacrim;;;;;;;;;;;;;x
b_brethil_2;Ford Town;;;;;;;;;;;;;x
b_brethil_2_adj;Ford Town;;;;;;;;;;;;;x
b_brethil_3;Ephel Elemmacil;;;;;;;;;;;;;x
b_brethil_3_adj;Ephel Elemmacil;;;;;;;;;;;;;x
b_brethil_4;Brethiliand;;;;;;;;;;;;;x
b_brethil_4_adj;Brethiliand;;;;;;;;;;;;;x
b_brilthor;Brilthor;;;;;;;;;;;;;x
b_brilthor_adj;Brilthorim;;;;;;;;;;;;;x
b_brilthor_2;Bar-en-Lilthor;Brilthor;Brilthor;;Brilthor;;;;;;;;;x
b_brilthor_2_adj;Lilthorim;;brilthorer;;;;;;;;;;;x
b_brilthor_3;Thórodgwaith;Brilthor;Brilthor;;Brilthor;;;;;;;;;x
b_brilthor_3_adj;Thórodgwaith;;brilthorer;;;;;;;;;;;x
b_brilthor_4;Sarpathnan;Brilthor;Brilthor;;Brilthor;;;;;;;;;x
b_brilthor_4_adj;Sarpathnan;;brilthorer;;;;;;;;;;;x
b_brithiac;Harniach;;;;;;;;;;;;;x
b_brithiac_adj;Harniachrim;;;;;;;;;;;;;x
b_brithiac_2;Cardh-in-Brethilrim;;;;;;;;;;;;;x
b_brithiac_2_adj;Cardh-in-Brethilrim;;;;;;;;;;;;;x
b_brithiac_3;Lostrond;;;;;;;;;;;;;x
b_brithiac_3_adj;Lostrondrim;;;;;;;;;;;;;x
b_brithiac_4;Eglanedainost;;;;;;;;;;;;;x
b_brithiac_4_adj;Eglanedainothrim;;;;;;;;;;;;;x
b_brithiac_5;Tagaladh;;;;;;;;;;;;;x
b_brithiac_5_adj;Tagalathrim;;;;;;;;;;;;;x
b_brithiac_6;Hatawar;;;;;;;;;;;;;x
b_brithiac_6_adj;Hatawachrim;;;;;;;;;;;;;x
b_brithombar;Brithombar;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_adj;Brithombar;;brithombarer;;;;;;;;;;;x
b_brithombar_2;Cair Londhîr;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_2_adj;Cair Londhîr;;brithombarer;;;;;;;;;;;x
b_brithombar_3;Beraidor;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_3_adj;Beraidorim;;brithombarer;;;;;;;;;;;x
b_brithombar_4;Caladol;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_4_adj;Caladolrim;;brithombarer;;;;;;;;;;;x
b_brithombar_5;Aerthyst;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_5_adj;Aerthystrim;;brithombarer;;;;;;;;;;;x
b_brithombar_6;Lunedhelost;Brithombar;Brithombar;;Brithombar;;;;;;;;;x
b_brithombar_6_adj;Lunedhelost;;brithombarer;;;;;;;;;;;x
b_calensta;Calensta;Calensta;Calensta;;Calensta;;;;;;;;;x
b_calensta_adj;Calenstan;;calenster;;;;;;;;;;;x
b_calensta_2;Nûrnen Orchal;Calensta;Calensta;;Calensta;;;;;;;;;x
b_calensta_2_adj;Nûrnen Orchalrim;;calenster;;;;;;;;;;;x
b_calensta_3;Nûrnen Niben;Calensta;Calensta;;Calensta;;;;;;;;;x
b_calensta_3_adj;Nûrnen Niben;;calenster;;;;;;;;;;;x
b_calensta_4;Caras Arod;Calensta;Calensta;;Calensta;;;;;;;;;x
b_calensta_4_adj;Caras Arod;;calenster;;;;;;;;;;;x
b_calensta_5;Avar Alchor;Calensta;Calensta;;Calensta;;;;;;;;;x
b_calensta_5_adj;Avar Alchor;;calenster;;;;;;;;;;;x
b_calensta_ambalar;Calensta Ambalar;Calensta Ambalar;Calensta Ambalar;;Calensta Ambalar;;;;;;;;;x
b_calensta_ambalar_adj;Calensta Ambalar;;Calensta Ambalarer;;;;;;;;;;;x
b_calensta_ambalar_2;Tawaborn;Calensta Ambalar;Calensta Ambalar;;Calensta Ambalar;;;;;;;;;x
b_calensta_ambalar_2_adj;Tawaborim;;Calensta Ambalarer;;;;;;;;;;;x
b_calensta_ambalar_3;Caras Ambalar;Calensta Ambalar;Calensta Ambalar;;Calensta Ambalar;;;;;;;;;x
b_calensta_ambalar_3_adj;Caras Ambalar;;Calensta Ambalarer;;;;;;;;;;;x
b_cape_balar;Cape Balar;Cape Balar;Cape Balar;;Cape Balar;;;;;;;;;x
b_cape_balar_adj;Cape Balar;;Cape Balarer;;;;;;;;;;;x
b_cape_balar_2;Balandor;Cape Balar;Cape Balar;;Cape Balar;;;;;;;;;x
b_cape_balar_2_adj;Balandorim;;Cape Balarer;;;;;;;;;;;x
b_cape_balar_3;Londrast;Cape Balar;Cape Balar;;Cape Balar;;;;;;;;;x
b_cape_balar_3_adj;Londrathrim;;Cape Balarer;;;;;;;;;;;x
b_cape_balar_4;Amon Gaer;Cape Balar;Cape Balar;;Cape Balar;;;;;;;;;x
b_cape_balar_4_adj;Amon Gaerim;;Cape Balarer;;;;;;;;;;;x
b_caragdur;Caragdûr;Caragdûr;Caragdûr;;Caragdûr;;;;;;;;;x
b_caragdur_adj;Caragdûr;;caragdûrer;;;;;;;;;;;x
b_caranthirs_pass;Mindon Bron;;;;;;;;;;;;;x
b_caranthirs_pass_adj;Mindonrim;;Mindonrim;;;;;;;;;;;x
b_caranthirs_pass_2;Baradhrimost;;;;;;;;;;;;;x
b_caranthirs_pass_2_adj;Baradhrimothrim;;;;;;;;;;;;;x
b_caras_anachrim;Caras Anachrim;Caras Anachrim;Caras Anachrim;;Caras Anachrim;;;;;;;;;x
b_caras_anachrim_adj;Caras Anachrim;;Caras Anachrimer;;;;;;;;;;;x
b_caras_arossiach;Caras Arossiach;Caras Arossiach;Caras Arossiach;;Caras Arossiach;;;;;;;;;x
b_caras_arossiach_adj;Caras Arossiachrim;;Caras Arossiacher;;;;;;;;;;;x
b_caras_gondolin;Caras Gondolin;Caras Gondolin;Caras Gondolin;;Caras Gondolin;;;;;;;;;x
b_caras_gondolin_adj;Caras Gondolinrim;;Caras Gondoliner;;;;;;;;;;;x
b_caras_himwaith;Caras Himwaith;Caras Himwaith;Caras Himwaith;;Caras Himwaith;;;;;;;;;x
b_caras_himwaith_adj;Caras Himwaithrim;;Caras Himwaither;;;;;;;;;;;x
b_caras_nan_anach;Caras Nan Anach;Caras Nan Anach;Caras Nan Anach;;Caras Nan Anach;;;;;;;;;x
b_caras_nan_anach_adj;Caras Nan Anachrim;;Caras Nan Anacher;;;;;;;;;;;x
b_cerin_haleth;Cerin Haleth;Cerin Haleth;Cerin Haleth;;Cerin Haleth;;;;;;;;;x
b_cerin_haleth_adj;Cerin Halethrim;;Cerin Halether;;;;;;;;;;;x
b_cerin_haleth_2;Bar-Haldagwen;Cerin Haleth;Cerin Haleth;;Cerin Haleth;;;;;;;;;x
b_cerin_haleth_2_adj;Bar-Haldagwen;;Cerin Halether;;;;;;;;;;;x
b_cerin_haleth_3;Cerin Haleth;Cerin Haleth;Cerin Haleth;;Cerin Haleth;;;;;;;;;x
b_cerin_haleth_3_adj;Cerin Halethrim;;Cerin Halether;;;;;;;;;;;x
b_cirith_celegorm;Cirith Celegorm;Cirith Celegorm;Cirith Celegorm;;Cirith Celegorm;;;;;;;;;x
b_cirith_celegorm_adj;Cirith Celegormrim;;Cirith Celegormer;;;;;;;;;;;x
b_cirith_dumgorthin;Cirith Dumgorthin;Cirith Dumgorthin;Cirith Dumgorthin;;Cirith Dumgorthin;;;;;;;;;x
b_cirith_dumgorthin_adj;Cirith Dumgorthinrim;;Cirith Dumgorthiner;;;;;;;;;;;x
b_cirith_ninniach;Cirith Ninniach;Cirith Ninniach;Cirith Ninniach;;Cirith Ninniach;;;;;;;;;x
b_cirith_ninniach_adj;Cirith Ninniachrim;;Cirith Ninniacher;;;;;;;;;;;x
b_cirith_ninniach_2;Carissdor;Cirith Ninniach;Cirith Ninniach;;Cirith Ninniach;;;;;;;;;x
b_cirith_ninniach_2_adj;Carissdorim;;Cirith Ninniacher;;;;;;;;;;;x
b_corda_curufin;Corda Curufin;Corda Curufin;Corda Curufin;;Corda Curufin;;;;;;;;;x
b_corda_curufin_adj;Corda Curufinrim;;Corda Curufiner;;;;;;;;;;;x
b_cordasoron;Cordasoron;Cordasoron;Cordasoron;;Cordasoron;;;;;;;;;x
b_cordasoron_adj;Cordasoronrim;;cordasoroner;;;;;;;;;;;x
b_crissaegrim;Crissaegrim;Crissaegrim;Crissaegrim;;Crissaegrim;;;;;;;;;x
b_crissaegrim_adj;Crissaegrim;;crissaegrimer;;;;;;;;;;;x
b_crissaegrim_2;Hûb Gondolin;Crissaegrim;Crissaegrim;;Crissaegrim;;;;;;;;;x
b_crissaegrim_2_adj;Hûb;;crissaegrimer;;;;;;;;;;;x
b_crossings_of_taeglin;Watch of Haleth;;;;;;;;;;;;;x
b_crossings_of_taeglin_adj;Watch;;;;;;;;;;;;;x
b_crossings_of_taeglin_2;Men-i-Taeglin;;;;;;;;;;;;;x
b_crossings_of_taeglin_2_adj;Men-i-Taeglinrim;;;;;;;;;;;;;x
b_crossings_of_taeglin_3;Cabed-en-Aras;;;;;;;;;;;;;x
b_crossings_of_taeglin_3_adj;Cabed-en-Arathrim;;;;;;;;;;;;;x
b_cu_edrain;Cû Edrain;Cû Edrain;Cû Edrain;;Cû Edrain;;;;;;;;;x
b_cu_edrain_adj;Cû Edrainrim;;Cû Edrainer;;;;;;;;;;;x
b_cu_nan_eilch;Cû nan Eilch;Cû nan Eilch;Cû nan Eilch;;Cû nan Eilch;;;;;;;;;x
b_cu_nan_eilch_adj;Cû nan Eilch;;Cû nan Eilcher;;;;;;;;;;;x
b_cu_nan_eilch_2;Glaebâr;Cû nan Eilch;Cû nan Eilch;;Cû nan Eilch;;;;;;;;;x
b_cu_nan_eilch_2_adj;Glaebârim;;Cû nan Eilcher;;;;;;;;;;;x
b_cu_nan_eilch_3;Monoss;Cû nan Eilch;Cû nan Eilch;;Cû nan Eilch;;;;;;;;;x
b_cu_nan_eilch_3_adj;Monothrim;;Cû nan Eilcher;;;;;;;;;;;x
b_cu_nan_eilch_4;Harlond;Cû nan Eilch;Cû nan Eilch;;Cû nan Eilch;;;;;;;;;x
b_cu_nan_eilch_4_adj;Harlond;;Cû nan Eilcher;;;;;;;;;;;x
b_cu_nan_eilch_5;Cawlond;;Cû nan Eilch;;Cû nan Eilch;;;;;;;;;x
b_cu_nan_eilch_5_adj;Cawlond;;Cû nan Eilcher;;;;;;;;;;;x
b_dimrost;Dimrost;Dimrost;Dimrost;;Dimrost;;;;;;;;;x
b_dimrost_adj;Dimrothrim;;dimroster;;;;;;;;;;;x
b_dimrost_2;Dimrostiant;Dimrost;Dimrost;;Dimrost;;;;;;;;;x
b_dimrost_2_adj;Dimrostiant;;dimroster;;;;;;;;;;;x
b_dimrost_3;Ianurond;Dimrost;Dimrost;;Dimrost;;;;;;;;;x
b_dimrost_3_adj;Ianurondwaith;;dimroster;;;;;;;;;;;x
b_dolmed;Dolmed;Dolmed;Dolmed;;Dolmed;;;;;;;;;x
b_dolmed_adj;Dolmed;;dolmeder;;;;;;;;;;;x
b_dolmed_2;Adarost;Dolmed;Dolmed;;Dolmed;;;;;;;;;x
b_dolmed_2_adj;Adarost;;dolmeder;;;;;;;;;;;x
b_dolmed_3;Grodiant;Dolmed;Dolmed;;Dolmed;;;;;;;;;x
b_dolmed_3_adj;Grodianthrim;;dolmeder;;;;;;;;;;;x
b_dolmed_4;Limprond;Dolmed;Dolmed;;Dolmed;;;;;;;;;x
b_dolmed_4_adj;Limprond;;dolmeder;;;;;;;;;;;x
b_dolmed_5;Zirakbund;;;;;;;;;;;;;x
b_dolmed_5_adj;Zirakbundul;;;;;;;;;;;;;x
b_dolmed_6;Korda Návataro;Dolmed;Dolmed;;Dolmed;;;;;;;;;x
b_dolmed_6_adj;Korda Návataro;;dolmeder;;;;;;;;;;;x
b_dor_beor;Dor-Bëor;Dor-Bëor;Dor-Bëor;;Dor-Bëor;;;;;;;;;x
b_dor_beor_adj;Dor-Bëor;;dor-bëorer;;;;;;;;;;;x
b_dor_beor_2;Luindol;Dor-Bëor;Dor-Bëor;;Dor-Bëor;;;;;;;;;x
b_dor_beor_2_adj;Luindolrim;;dor-bëorer;;;;;;;;;;;x
b_dor_beor_3;Ost-in-Rhunedain;Dor-Bëor;Dor-Bëor;;Dor-Bëor;;;;;;;;;x
b_dor_beor_3_adj;Ost-in-Rhunedain;;dor-bëorer;;;;;;;;;;;x
b_dor_caranthir;Dor Caranthir;;;;;;;;;;;;;x
b_dor_caranthir_adj;Dor Caranthir;;;;;;;;;;;;;x
b_dor_caranthir_2;Tauron;;;;;;;;;;;;;x
b_dor_caranthir_2_adj;Tauronrim;;;;;;;;;;;;;x
b_dor_caranthir_3;Dor Caranthir;Dor Caranthir;Dor Caranthir;;Dor Caranthir;;;;;;;;;x
b_dor_caranthir_3_adj;Dor Caranthir;;Dor Caranthirer;;;;;;;;;;;x
b_dor_caranthir_4;Rhomros;;;;;;;;;;;;;x
b_dor_caranthir_4_adj;Rhomrothrim;;;;;;;;;;;;;x
b_dor_cuarthol;Dor-Cúarthol;Dor-Cúarthol;Dor-Cúarthol;;Dor-Cúarthol;;;;;;;;;x
b_dor_cuarthol_adj;Dor-Cúarthol;;dor-cúartholer;;;;;;;;;;;x
b_dor_cuarthol_2;Lost-en-Noged;Dor-Cúarthol;Dor-Cúarthol;;Dor-Cúarthol;;;;;;;;;x
b_dor_cuarthol_2_adj;Lost-en-Noged;;dor-cúartholer;;;;;;;;;;;x
b_dor_cuarthol_3;Enedhalath;;Dor-Cúarthol;;Dor-Cúarthol;;;;;;;;;x
b_dor_cuarthol_3_adj;Enedhalathrim;;dor-cúartholer;;;;;;;;;;;x
b_dor_cuarthol_4;Gortholrond;Dor-Cúarthol;Dor-Cúarthol;;Dor-Cúarthol;;;;;;;;;x
b_dor_cuarthol_4_adj;Gortholrond;;dor-cúartholer;;;;;;;;;;;x
b_dor_daedeloth;Ladwen-na-Dhaideloth;Dor-Daedeloth;Dor-Daedeloth;;Dor-Daedeloth;;;;;;;;;x
b_dor_daedeloth_adj;Ladwen-na-Dhaideloth;;dor-daedelother;;;;;;;;;;;x
b_melve_elunore;Melve Elunore;Melve Elunore;Melve Elunore;;Melve Elunore;;;;;;;;;x
b_melve_elunore_adj;Melve Elunorerim;;melve elunoreer;;;;;;;;;;;x
b_nylha_themar;Nylha Themar;Nylha Themar;Nylha Themar;;Nylha Themar;;;;;;;;;x
b_nylha_themar_adj;Nylha Themar;;Nylha Themarer;;;;;;;;;;;x
b_dor_daedeloth_4;Daedelost;Dor-Daedeloth;Dor-Daedeloth;;Dor-Daedeloth;;;;;;;;;x
b_dor_daedeloth_4_adj;Daedelothrim;;dor-daedelother;;;;;;;;;;;x
b_dor_daedeloth_5;Echad Gothmog;Dor-Daedeloth;Dor-Daedeloth;;Dor-Daedeloth;;;;;;;;;x
b_dor_daedeloth_5_adj;Echad Gothmog;;dor-daedelother;;;;;;;;;;;x
b_dor_daedeloth_6;Talath Nûrnen;Dor-Daedeloth;Dor-Daedeloth;;Dor-Daedeloth;;;;;;;;;x
b_dor_daedeloth_6_adj;Talath Nûrnen;;dor-daedelother;;;;;;;;;;;x
b_dor_daedeloth_7;Borngurlad;Dor-Daedeloth;Dor-Daedeloth;;Dor-Daedeloth;;;;;;;;;x
b_dor_daedeloth_7_adj;Borngurlad;;dor-daedelother;;;;;;;;;;;x
b_dor_fingon;Dor-Fingon;Dor-Fingon;Dor-Fingon;;Dor-Fingon;;;;;;;;;x
b_dor_fingon_adj;Dor-Fingon;;dor-fingoner;;;;;;;;;;;x
b_dor_fingon_2;Dor-Fingon;Dor-Fingon;Dor-Fingon;;Dor-Fingon;;;;;;;;;x
b_dor_fingon_2_adj;Dor-Fingon;;dor-fingoner;;;;;;;;;;;x
b_dor_fingon_3;Ost-en-Turion;Dor-Fingon;Dor-Fingon;;Dor-Fingon;;;;;;;;;x
b_dor_fingon_3_adj;Ost-en-Turion;;dor-fingoner;;;;;;;;;;;x
b_dor_fingon_4;Helinillea ;Dor-Fingon;Dor-Fingon;;Dor-Fingon;;;;;;;;;x
b_dor_fingon_4_adj;Helinillea;;dor-fingoner;;;;;;;;;;;x
b_dor_firn_i_guinar;Dor Firn-i-Guinar;Dor Firn-i-Guinar;Dor Firn-i-Guinar;;Dor Firn-i-Guinar;;;;;;;;;x
b_dor_firn_i_guinar_adj;Dor Firn-i-Guinar;;Dor Firn-i-Guinarer;;;;;;;;;;;x
b_dor_firn_i_guinar_2;Emyn Taurwaith;Dor Firn-i-Guinar;Dor Firn-i-Guinar;;Dor Firn-i-Guinar;;;;;;;;;x
b_dor_firn_i_guinar_2_adj;Emyn Taurwaith;;Dor Firn-i-Guinarer;;;;;;;;;;;x
b_dor_firn_i_guinar_3;Berendor;Dor Firn-i-Guinar;Dor Firn-i-Guinar;;Dor Firn-i-Guinar;;;;;;;;;x
b_dor_firn_i_guinar_3_adj;Berendor;;Dor Firn-i-Guinarer;;;;;;;;;;;x
b_dor_firn_i_guinar_4;Lost-en-Duingol;Dor Firn-i-Guinar;Dor Firn-i-Guinar;;Dor Firn-i-Guinar;;;;;;;;;x
b_dor_firn_i_guinar_4_adj;Lost-en-Duingol;;Dor Firn-i-Guinarer;;;;;;;;;;;x
b_dor_halethrim;Dor-Halethrim;Dor-Halethrim;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_adj;Dor-Halethrim;;dor-halethrimer;;;;;;;;;;;x
b_dor_halethrim_2;Lobordol;Dor-Halethrim;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_2_adj;Lobordol;;dor-halethrimer;;;;;;;;;;;x
b_dor_halethrim_3;Dor-Halethrim;Dor-Halethrim;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_3_adj;Halethrim;;dor-halethrimer;;;;;;;;;;;x
b_dor_halethrim_4;Bar-en-Naudil;Dor-Halethrim;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_4_adj;Bar-en-Naudil;;dor-halethrimer;;;;;;;;;;;x
b_dor_halethrim_5;Gar Hathelion;Dor-Halethrim;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_5_adj;Gar Hathelion;;dor-halethrimer;;;;;;;;;;;x
b_dor_halethrim_6;Echad Elvellon;;Dor-Halethrim;;Dor-Halethrim;;;;;;;;;x
b_dor_halethrim_6_adj;Echad Elvellon;;dor-halethrimer;;;;;;;;;;;x
b_dor_i_celon;Celondor;Dor-i-Celon;Dor-i-Celon;;Dor-i-Celon;;;;;;;;;x
b_dor_i_celon_adj;Celondor;;dor-i-celoner;;;;;;;;;;;x
b_dor_i_celon_2;Rond Aewellon;Dor-i-Celon;Dor-i-Celon;;Dor-i-Celon;;;;;;;;;x
b_dor_i_celon_2_adj;Rond Aewellon;;dor-i-celoner;;;;;;;;;;;x
b_dor_i_celon_3;Celonost;Dor-i-Celon;Dor-i-Celon;;Dor-i-Celon;;;;;;;;;x
b_dor_i_celon_3_adj;Celothrim;;dor-i-celoner;;;;;;;;;;;x
b_dor_im_toer;Dor-im-Toer;Dor-im-Toer;Dor-im-Toer;;Dor-im-Toer;;;;;;;;;x
b_dor_im_toer_adj;Dor-im-Toer;;dor-im-toerer;;;;;;;;;;;x
b_dor_im_toer_2;Dor-im-Toer;Dor-im-Toer;Dor-im-Toer;;Dor-im-Toer;;;;;;;;;x
b_dor_im_toer_2_adj;Dor-im-Toer;;dor-im-toerer;;;;;;;;;;;x
b_dor_im_toer_3;Iaurimbar;Dor-im-Toer;Dor-im-Toer;;Dor-im-Toer;;;;;;;;;x
b_dor_im_toer_3_adj;Iaurimbar;;dor-im-toerer;;;;;;;;;;;x
b_dor_im_toer_4;Bar-en-Ladrach;Dor-im-Toer;Dor-im-Toer;;Dor-im-Toer;;;;;;;;;x
b_dor_im_toer_4_adj;Bar-en-Ladrach;;dor-im-toerer;;;;;;;;;;;x
b_dor_im_toer_5;Hildorimbar;Dor-im-Toer;Dor-im-Toer;;Dor-im-Toer;;;;;;;;;x
b_dor_im_toer_5_adj;Hildorimbar;;dor-im-toerer;;;;;;;;;;;x
b_dor_lomin;Dor-lómin;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
b_dor_lomin_adj;Dor-lóminrim;;dor-lóminer;;;;;;;;;;;x
b_dor_lomin_2;Rond Galathrond;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
b_dor_lomin_2_adj;Rond Galathrond;;dor-lóminer;;;;;;;;;;;x
b_dor_lomin_3;Bar-en-Mithedhel;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
b_dor_lomin_3_adj;Bar-en-Mithedhel;;dor-lóminer;;;;;;;;;;;x
b_dor_lomin_4;Echan Duven;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
b_dor_lomin_4_adj;Echan Duven;;dor-lóminer;;;;;;;;;;;x
b_dor_lomin_5;Himdol;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
b_dor_lomin_5_adj;Himdol;;dor-lóminer;;;;;;;;;;;x
b_dorthonian;Taur na Foen;Dorthonrim;Dorthonrim;;Dorthonrim;;;;;;;;;x
b_dorthonian_adj;Taur na Foen;;dorthonianer;;;;;;;;;;;x
b_dorthonian_2;Thaundol;Dorthonrim;Dorthonrim;;Dorthonrim;;;;;;;;;x
b_dorthonian_2_adj;Thaundol;;dorthonianer;;;;;;;;;;;x
b_dorthonian_3;Lothorinel;Dorthonrim;Dorthonrim;;Dorthonrim;;;;;;;;;x
b_dorthonian_3_adj;Lothorinel;;dorthonianer;;;;;;;;;;;x
b_dorthonian_4;Bar-en-Galadh;Dorthonrim;;Dorthonrim;;;;;;;;;x
b_dorthonian_4_adj;Bar-en-Galadh;;dorthonianer;;;;;;;;;;;x
b_dorthonian_5;Forodol;Dorthonrim;Dorthonrim;;Dorthonrim;;;;;;;;;x
b_dorthonian_5_adj;Forodol;;dorthonianer;;;;;;;;;;;x
b_drun;Drûn;Drûn;Drûn;;Drûn;;;;;;;;;x
b_drun_adj;Drûnrim;;drûner;;;;;;;;;;;x
